,haplotype,motif_type,class,fraction
271,NA19705_hap2,APR,Unmethylated,0.4624096856082796
272,NA19705_hap2,Z,Methylated,0.5517635693302577
273,NA19705_hap2,Z,Unmethylated,0.44823643066974234
274,NA19705_hap2,G4,Methylated,0.5598882869262106
275,NA19705_hap2,G4,Unmethylated,0.44011171307378943
276,NA19650_hap2,IR,Methylated,0.6104874448484336
277,NA19650_hap2,IR,Unmethylated,0.38951255515156635
278,NA19650_hap2,MR,Methylated,0.5968643247832869
279,NA19650_hap2,MR,Unmethylated,0.40313567521671306
280,NA19650_hap2,DR,Methylated,0.601478148424605
281,NA19650_hap2,DR,Unmethylated,0.39852185157539505
282,NA19650_hap2,APR,Methylated,0.6150632451534066
283,NA19650_hap2,APR,Unmethylated,0.38493675484659334
284,NA19650_hap2,Z,Methylated,0.6240768310126398
285,NA19650_hap2,Z,Unmethylated,0.3759231689873602
286,NA19650_hap2,G4,Methylated,0.6279011020240614
287,NA19650_hap2,G4,Unmethylated,0.3720988979759386
288,HG00268_hap2,IR,Methylated,0.5668889449686138
289,HG00268_hap2,IR,Unmethylated,0.4331110550313863
290,HG00268_hap2,MR,Methylated,0.5521392261095999
291,HG00268_hap2,MR,Unmethylated,0.44786077389040013
292,HG00268_hap2,DR,Methylated,0.5626372416294751
293,HG00268_hap2,DR,Unmethylated,0.43736275837052485
294,HG00268_hap2,APR,Methylated,0.5679322201105486
295,HG00268_hap2,APR,Unmethylated,0.43206777988945144
296,HG00268_hap2,Z,Methylated,0.5786216994945916
297,HG00268_hap2,Z,Unmethylated,0.42137830050540837
298,HG00268_hap2,G4,Methylated,0.5863174211176208
299,HG00268_hap2,G4,Unmethylated,0.4136825788823792
300,HG03248_hap1,IR,Methylated,0.5094790089933604
301,HG03248_hap1,IR,Unmethylated,0.49052099100663954
302,HG03248_hap1,MR,Methylated,0.4909309603389181
303,HG03248_hap1,MR,Unmethylated,0.5090690396610819
304,HG03248_hap1,DR,Methylated,0.5155327812600082
305,HG03248_hap1,DR,Unmethylated,0.48446721873999177
306,HG03248_hap1,APR,Methylated,0.5256570044868599
307,HG03248_hap1,APR,Unmethylated,0.4743429955131401
308,HG03248_hap1,Z,Methylated,0.5217143219425601
309,HG03248_hap1,Z,Unmethylated,0.47828567805743993
310,HG03248_hap1,G4,Methylated,0.5238737201365188
311,HG03248_hap1,G4,Unmethylated,0.4761262798634812
312,NA19331_hap2,IR,Methylated,0.35342306191670964
313,NA19331_hap2,IR,Unmethylated,0.6465769380832904
314,NA19331_hap2,MR,Methylated,0.3333912350740793
315,NA19331_hap2,MR,Unmethylated,0.6666087649259207
316,NA19331_hap2,DR,Methylated,0.35771680482494694
317,NA19331_hap2,DR,Unmethylated,0.6422831951750531
318,NA19331_hap2,APR,Methylated,0.36657947659669554
319,NA19331_hap2,APR,Unmethylated,0.6334205234033045
320,NA19331_hap2,Z,Methylated,0.36971374869828044
321,NA19331_hap2,Z,Unmethylated,0.6302862513017196
322,NA19331_hap2,G4,Methylated,0.3706085186964755
323,NA19331_hap2,G4,Unmethylated,0.6293914813035245
324,HG03009_hap2,IR,Methylated,0.36165454461224866
325,HG03009_hap2,IR,Unmethylated,0.6383454553877513
326,HG03009_hap2,MR,Methylated,0.3408696514452873
327,HG03009_hap2,MR,Unmethylated,0.6591303485547126
328,HG03009_hap2,DR,Methylated,0.37125434876457
329,HG03009_hap2,DR,Unmethylated,0.62874565123543
330,HG03009_hap2,APR,Methylated,0.36763927688009945
331,HG03009_hap2,APR,Unmethylated,0.6323607231199005
332,HG03009_hap2,Z,Methylated,0.37620628725655814
333,HG03009_hap2,Z,Unmethylated,0.6237937127434419
334,HG03009_hap2,G4,Methylated,0.3739415578111685
335,HG03009_hap2,G4,Unmethylated,0.6260584421888314
336,HG01890_hap2,IR,Methylated,0.5402926485050867
337,HG01890_hap2,IR,Unmethylated,0.45970735149491326
338,HG01890_hap2,MR,Methylated,0.5254585659601739
339,HG01890_hap2,MR,Unmethylated,0.4745414340398261
340,HG01890_hap2,DR,Methylated,0.5429631957055443
341,HG01890_hap2,DR,Unmethylated,0.45703680429445565
342,HG01890_hap2,APR,Methylated,0.5488668931111347
343,HG01890_hap2,APR,Unmethylated,0.4511331068888653
344,HG01890_hap2,Z,Methylated,0.5592277170231298
345,HG01890_hap2,Z,Unmethylated,0.4407722829768702
346,HG01890_hap2,G4,Methylated,0.5574987434433518
347,HG01890_hap2,G4,Unmethylated,0.4425012565566481
348,HG00096_hap1,IR,Methylated,0.6163675777665508
349,HG00096_hap1,IR,Unmethylated,0.3836324222334492
350,HG00096_hap1,MR,Methylated,0.6065807906889104
351,HG00096_hap1,MR,Unmethylated,0.3934192093110897
352,HG00096_hap1,DR,Methylated,0.610718510991684
353,HG00096_hap1,DR,Unmethylated,0.3892814890083161
354,HG00096_hap1,APR,Methylated,0.6182762590698546
355,HG00096_hap1,APR,Unmethylated,0.3817237409301454
356,HG00096_hap1,Z,Methylated,0.6212230703220271
357,HG00096_hap1,Z,Unmethylated,0.378776929677973
358,HG00096_hap1,G4,Methylated,0.6397232932075425
359,HG00096_hap1,G4,Unmethylated,0.3602767067924575
360,NA19317_hap2,IR,Methylated,0.6309666391303478
361,NA19317_hap2,IR,Unmethylated,0.3690333608696522
362,NA19317_hap2,MR,Methylated,0.6151801551097263
363,NA19317_hap2,MR,Unmethylated,0.38481984489027365
364,NA19317_hap2,DR,Methylated,0.6215273185325145
365,NA19317_hap2,DR,Unmethylated,0.3784726814674854
366,NA19317_hap2,APR,Methylated,0.6382056921948943
367,NA19317_hap2,APR,Unmethylated,0.36179430780510563
368,NA19317_hap2,Z,Methylated,0.6399776972400335
369,NA19317_hap2,Z,Unmethylated,0.36002230275996655
370,NA19317_hap2,G4,Methylated,0.6421350026313603
371,NA19317_hap2,G4,Unmethylated,0.35786499736863975
372,HG00096_hap2,IR,Methylated,0.6199836964614255
373,HG00096_hap2,IR,Unmethylated,0.3800163035385745
374,HG00096_hap2,MR,Methylated,0.6096192022620911
375,HG00096_hap2,MR,Unmethylated,0.3903807977379089
376,HG00096_hap2,DR,Methylated,0.623073030448896
377,HG00096_hap2,DR,Unmethylated,0.37692696955110405
378,HG00096_hap2,APR,Methylated,0.6158237819243499
379,HG00096_hap2,APR,Unmethylated,0.38417621807565006
380,HG00096_hap2,Z,Methylated,0.6239800347222222
381,HG00096_hap2,Z,Unmethylated,0.37601996527777776
382,HG00096_hap2,G4,Methylated,0.6277270284793122
383,HG00096_hap2,G4,Unmethylated,0.3722729715206878
384,HG00733_hap1,IR,Methylated,0.5006908345995559
385,HG00733_hap1,IR,Unmethylated,0.4993091654004442
386,HG00733_hap1,MR,Methylated,0.4833233114413563
387,HG00733_hap1,MR,Unmethylated,0.5166766885586437
388,HG00733_hap1,DR,Methylated,0.4993894489703219
389,HG00733_hap1,DR,Unmethylated,0.5006105510296781
390,HG00733_hap1,APR,Methylated,0.5035966543959832
391,HG00733_hap1,APR,Unmethylated,0.49640334560401683
392,HG00733_hap1,Z,Methylated,0.5208396189819404
393,HG00733_hap1,Z,Unmethylated,0.4791603810180596
394,HG00733_hap1,G4,Methylated,0.5249508983778279
395,HG00733_hap1,G4,Unmethylated,0.4750491016221721
396,HG00512_hap1,IR,Methylated,0.5116456240775817
397,HG00512_hap1,IR,Unmethylated,0.48835437592241826
398,HG00512_hap1,MR,Methylated,0.49063405770977836
399,HG00512_hap1,MR,Unmethylated,0.5093659422902216
400,HG00512_hap1,DR,Methylated,0.5142243708152175
401,HG00512_hap1,DR,Unmethylated,0.48577562918478245
402,HG00512_hap1,APR,Methylated,0.5222261113055653
403,HG00512_hap1,APR,Unmethylated,0.4777738886944347
404,HG00512_hap1,Z,Methylated,0.5282783143529864
405,HG00512_hap1,Z,Unmethylated,0.4717216856470136
406,HG00512_hap1,G4,Methylated,0.5333315506591437
407,HG00512_hap1,G4,Unmethylated,0.4666684493408562
408,HG03456_hap2,IR,Methylated,0.5887126773471827
409,HG03456_hap2,IR,Unmethylated,0.4112873226528173
410,HG03456_hap2,MR,Methylated,0.5749745431064152
411,HG03456_hap2,MR,Unmethylated,0.42502545689358484
412,HG03456_hap2,DR,Methylated,0.5824758288743102
413,HG03456_hap2,DR,Unmethylated,0.41752417112568985
414,HG03456_hap2,APR,Methylated,0.5894055466476632
415,HG03456_hap2,APR,Unmethylated,0.41059445335233685
416,HG03456_hap2,Z,Methylated,0.6042830242874924
417,HG03456_hap2,Z,Unmethylated,0.3957169757125076
418,HG03456_hap2,G4,Methylated,0.618565787020559
419,HG03456_hap2,G4,Unmethylated,0.381434212979441
420,HG04217_hap2,IR,Methylated,0.5891644313384139
421,HG04217_hap2,IR,Unmethylated,0.4108355686615861
422,HG04217_hap2,MR,Methylated,0.5758776156701557
423,HG04217_hap2,MR,Unmethylated,0.4241223843298442
424,HG04217_hap2,DR,Methylated,0.5925397102913276
425,HG04217_hap2,DR,Unmethylated,0.4074602897086725
426,HG04217_hap2,APR,Methylated,0.5960369523350987
427,HG04217_hap2,APR,Unmethylated,0.4039630476649013
428,HG04217_hap2,Z,Methylated,0.6016238799695194
429,HG04217_hap2,Z,Unmethylated,0.3983761200304806
430,HG04217_hap2,G4,Methylated,0.6013882714013223
431,HG04217_hap2,G4,Unmethylated,0.3986117285986777
432,HG00268_hap1,IR,Methylated,0.5678839830747837
433,HG00268_hap1,IR,Unmethylated,0.43211601692521634
434,HG00268_hap1,MR,Methylated,0.5542147074971707
435,HG00268_hap1,MR,Unmethylated,0.4457852925028292
436,HG00268_hap1,DR,Methylated,0.5670185452837898
437,HG00268_hap1,DR,Unmethylated,0.4329814547162102
438,HG00268_hap1,APR,Methylated,0.5709640316373912
439,HG00268_hap1,APR,Unmethylated,0.4290359683626088
440,HG00268_hap1,Z,Methylated,0.5874943875983647
441,HG00268_hap1,Z,Unmethylated,0.4125056124016353
442,HG00268_hap1,G4,Methylated,0.5864937702612975
443,HG00268_hap1,G4,Unmethylated,0.4135062297387025
444,HG03456_hap1,IR,Methylated,0.5862936680447229
445,HG03456_hap1,IR,Unmethylated,0.4137063319552771
446,HG03456_hap1,MR,Methylated,0.5718291721789062
447,HG03456_hap1,MR,Unmethylated,0.42817082782109384
448,HG03456_hap1,DR,Methylated,0.5975090570841085
449,HG03456_hap1,DR,Unmethylated,0.4024909429158915
450,HG03456_hap1,APR,Methylated,0.5915144930076057
451,HG03456_hap1,APR,Unmethylated,0.4084855069923942
452,HG03456_hap1,Z,Methylated,0.6035148017249765
